Producto,Cantidad,Rack
ACEITE (20L),14,S0
AZUCAR CANELA (1. KG),8,S0
MIX DE MASA (40 PACKS),10,S0
MIX DE MASA (160 PACKS),9,S0
CATSUP (3KG),25,S0
CAJA CATSUP SOBRE,24,S0
CAJA CATSUP SOBRE,3,S1
CAJA JALAPEÑO EN RODAJA (4 x 3KG),22,S1
HARINA (44KG),102,S1
HARINA (44KG),73,S2
ACEITE MANTEQUILLA,5,S2
CAJA PIÑA EN ALMIBAR (4 X 3KG),48,S2
CAJA PIÑA EN ALMIBAR (4 X 3KG),57,S3
SALSA PIZZA (3KG),104,S3
SALSA PIZZA (3KG),160,S4
SALSA PIZZA (3KG),111,S5
VALENTINA (GAL),7,S5
CAJA SAYULITA EN SOBRE,23,S5
PAPEL ENCERADO PERSONALIZADO (Paquete de 1 kg),7,S6
BOLSAS DE PAPEL PARA PANITTOS (500 PZA),7,S6
QUESO PARMESANO,11,S6
SALSA ABAL BBQ,7,S6
SALSA HOT BULL,3,S6
CAJA PARA ALITAS,3,S6
POLVO LEMON PEPPER,5,S6
SALSA LEMON PEPPER,2,S6
SALSA MANGO HABANERO ,4,S6
SALSA HAWAII,2,S6
SALSA TERIYAKI,2,S7
SALSA MOSTAZA MIEL,3,S7
CONO PERSONALIZADO,7,S7
PLATO PERSONALIZADO,23,S7
BASE HELADO,7,S7
BASE HELADO,6,S7
CHORIZO,103,R0
JAMON (1 KG),255,R0
PEPPERONI (1 KG),445,R0
QUESO,105,R0
QUESO,1120,R1
QUESO,695,R2
TOCINO (1KG),58,R2
QUESO OAXACA,50,R2
ADEREZO RANCH,5,R2
ADEREZO BLUE CHEESE,2,R2
SALSA QUESO CHEDDAR,8,R2
CONO OBLEA,18,R3
MARQUETA ALITAS,10,C0
PAPAS A LA FRANCESAS ,33,C0
BONELESS,30,C0
